job_id,company,source,title,location,url,match_score,date_found
R5049200,GE Vernova,workday,Electrical Project Intern,Jakarta,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Jakarta/Electrical-Project-Intern_R5049200-2,30,2026-08-05
R5044549,GE Vernova,workday,Intern - Aero Design Electrical,Queretaro,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Queretaro/Intern---Aero-Design-Electrical_R5044549-3,30,2026-08-05
R5022036,GE Vernova,workday,Graduate Field Service Engineer Electrical,Findlay Township,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Findlay-Township/Graduate-Field-Service-Engineer-Electrical_R5022036-2,25,2026-08-05
